Filename,Easting,Northing,Height,Omega[deg],Phi[deg],Kappa[deg]
P0009080_r1_cam3.jpg,604524.2107,5313148.5753,397.1245,20.350469123,-0.742671787,81.475314318
P0009081_r1_cam3.jpg,604566.2565,5313155.3605,397.7679,19.673615822,0.774277423,84.003988648
P0009082_r1_cam3.jpg,604607.9704,5313161.9899,397.7299,20.033805427,1.399434293,88.352490435
P0009083_r1_cam3.jpg,604649.1537,5313167.7336,398.3818,21.249365191,1.706291100,85.120625533
P0009084_r1_cam3.jpg,604690.1838,5313172.9510,397.5278,19.057795460,1.552338976,86.422556603
P0009085_r1_cam3.jpg,604730.9832,5313178.1942,396.1921,19.809891637,1.440100599,82.886400133
P0009086_r1_cam3.jpg,604771.8567,5313183.6143,396.0465,19.338615420,0.960027350,82.834745450
P0009087_r1_cam3.jpg,604812.6535,5313189.5336,395.3749,19.058569480,1.505462757,84.959348725
P0009088_r1_cam3.jpg,604853.3952,5313195.7031,394.3286,19.908367621,0.193663619,80.012743670
P0009089_r1_cam3.jpg,604894.3255,5313202.2558,394.0250,20.451266000,-0.310645374,81.414493739
P0009090_r1_cam3.jpg,604934.9183,5313208.3758,394.4562,21.878966689,0.035189033,82.313709617
P0009091_r1_cam3.jpg,604975.0666,5313213.0210,394.6055,18.129762304,0.909172926,80.223075574
P0009092_r1_cam3.jpg,605015.6199,5313218.1892,393.7431,18.967952585,-0.190180181,76.105446538
P0009093_r1_cam3.jpg,605057.0097,5313224.2859,391.7085,19.679743258,1.077132622,80.737842133
P0009094_r1_cam3.jpg,605099.1185,5313230.4798,390.1550,19.088771732,1.196860781,80.611665114
P0009095_r1_cam3.jpg,605142.2246,5313237.3798,389.5680,19.667022318,0.667998498,78.739773791
P0009096_r1_cam3.jpg,605186.3478,5313244.8718,389.0826,19.449868539,0.175825960,78.783958149
P0009097_r1_cam3.jpg,605230.7107,5313251.8753,388.6579,22.830021549,-0.766687671,80.035643179
P0009098_r1_cam3.jpg,605274.3541,5313257.0772,388.2518,19.884075428,-0.720946491,78.010017314
P0009099_r1_cam3.jpg,605317.7062,5313262.4164,387.2135,20.115166025,-0.605398401,80.051673027
P0009100_r1_cam3.jpg,605360.5854,5313267.1637,386.1769,21.231400862,0.216751519,81.047647906
P0009101_r1_cam3.jpg,605403.2190,5313270.9398,384.7948,20.446059058,0.938582663,82.613647791
P0009915_r4_cam3.jpg,604923.0960,5313713.4538,397.1772,10.520718207,-16.907621399,18.494908339
P0009916_r4_cam3.jpg,604935.6136,5313672.7313,399.2028,10.196574177,-17.549949579,18.436687347
P0009917_r4_cam3.jpg,604948.6097,5313632.0191,401.6063,11.416561432,-17.727713254,21.445252636
P0009918_r4_cam3.jpg,604961.3545,5313591.1593,403.3842,11.465644315,-17.102518935,23.119886368
P0009919_r4_cam3.jpg,604973.6534,5313550.3161,404.5549,12.097673731,-18.098002528,23.580294432
P0009920_r4_cam3.jpg,604985.1991,5313508.9611,406.3341,13.235970531,-17.484206928,20.969560900
P0009921_r4_cam3.jpg,604996.4478,5313466.4533,408.3890,12.003520892,-19.053850638,20.208768948
P0009922_r4_cam3.jpg,605006.8776,5313423.2486,408.6489,10.260718110,-16.217607775,17.968231322
P0009923_r4_cam3.jpg,605018.2259,5313380.2498,407.7799,8.961554190,-14.756162191,17.065077497
P0009924_r4_cam3.jpg,605031.4245,5313338.0611,407.6670,9.953021297,-15.828484677,20.960622548
P0009925_r4_cam3.jpg,605045.4112,5313296.4518,408.4700,10.607236420,-15.394027769,19.994972285
P0009926_r4_cam3.jpg,605060.3305,5313254.8636,409.8567,10.422244901,-18.729884761,18.355640766
P0009927_r4_cam3.jpg,605074.6719,5313212.9431,410.9503,10.251295440,-18.979554183,18.087483442
P0009928_r4_cam3.jpg,605088.0410,5313170.9752,411.6764,9.513576155,-16.747116655,15.968457411
P0009929_r4_cam3.jpg,605101.8083,5313129.1704,412.3815,8.925748881,-17.075601747,15.700660528
P0009930_r4_cam3.jpg,605116.3844,5313087.6097,411.8721,9.830969866,-15.077895387,19.054717684
P0009931_r4_cam3.jpg,605131.9635,5313046.2378,411.9066,11.110048851,-17.911482787,20.435574081
P0009932_r4_cam3.jpg,605147.0647,5313004.7518,412.7292,11.254883571,-18.691991081,20.076693307
P0009933_r4_cam3.jpg,605160.9317,5312962.7453,412.8889,12.860131752,-19.160786382,22.031851644
P0009934_r4_cam3.jpg,605173.1518,5312919.5764,412.6643,11.154191734,-18.432423625,19.427494299
P0009935_r4_cam3.jpg,605184.9177,5312875.8827,413.0245,10.690129335,-17.747287889,16.737882596
P0009936_r4_cam3.jpg,605196.5280,5312832.0533,413.9833,9.875620654,-18.524252789,17.566265353
P0009937_r4_cam3.jpg,605207.3466,5312788.5926,414.5853,8.247916754,-18.841021489,14.292250617
P0009938_r4_cam3.jpg,605217.8062,5312745.9487,414.7847,8.234891838,-15.898419186,15.350419738
